,Area,Mean,Min,Max,Angle ,Length 
1,0.018,133.94,99.705,165.226,-175.601,0.827
2,0.02,142.829,126.316,183.405,-12.766,0.925
3,0.027,131.155,102.333,173.8,-39.56,1.261
4,0.021,170.712,158.556,199.623,-0.424,0.951
5,0.019,137.788,121.841,181.301,-0.466,0.867
6,0.016,160.031,142.296,181.528,28.072,0.719
7,0.018,152.562,136.478,179.16,-14.517,0.815
8,0.013,154.036,141.799,196.444,-30.63,0.622
9,0.021,146.815,135.773,177.747,21.186,0.975
10,0.01,148.907,129.736,182.519,-103.829,0.472
11,0.053,118.683,75.975,161.083,-129.347,2.479
12,0.023,157.529,115.736,191.25,-76.804,1.05
13,0.018,153.782,144.04,188.954,17.354,0.827
14,0.011,160.846,151.037,199.602,-117.3,0.492
15,0.019,133.024,97.903,160.729,-76.414,0.87
16,0.014,168.48,145.721,194.168,29.358,0.647
17,0.009,182.513,176.65,190.559,-122.905,0.428
18,0.017,163.056,112.415,187.732,176.987,0.804
19,0.024,163.62,153.808,178.755,-109.799,1.123
20,0.023,160.083,148.46,190.028,-93.033,1.066
21,0.028,160.947,141.056,196.556,-94.086,1.286
22,0.023,163.623,148.858,194.152,-115.723,1.072
23,0.01,157.536,150.642,172.29,-91.71,0.472
24,0.016,143.397,124.324,201.911,-0.546,0.74
25,0.009,173.311,152.694,190.944,180,0.423
26,0.018,160.763,142.69,209.147,-160.478,0.822
27,0.02,122.354,100.215,183,20.4,0.91
28,0.042,127.951,98.583,234.5,-171.87,1.993
29,0.023,147.265,135.648,188.38,127.318,1.081
30,0.038,116.644,102.048,192.232,167.811,1.802
31,0.015,135.086,121.072,183.694,169.854,0.68
32,0.032,151.362,102.028,200.694,-20.212,1.509
33,0.015,132.173,113.388,181.185,39.123,0.681
34,0.03,143.476,89.932,177.759,-126.754,1.39
35,0.035,167.261,147.749,188.083,11.358,1.646
36,0.008,187.777,171.569,215.764,-80.134,0.329
37,0.007,175.983,164.761,201.414,-122.276,0.317
38,0.025,159.689,86.205,206.629,1.38,1.17
39,0.013,182.349,145.237,202.452,99.806,0.579
40,0.017,150.475,135.335,190.484,91.061,0.761
41,0.026,144.547,119.939,181.315,30.449,1.21
42,0.009,171.657,165.616,179.667,-163.393,0.419
43,0.007,156.477,132.58,184.931,-159.59,0.323
44,0.031,154.785,139.126,169.714,-130.45,1.445
45,0.036,138.853,99.38,169,-138.266,1.662
46,0.027,123.745,114.078,148.873,-114.575,1.271
47,0.039,126.4,80.402,181.779,21.353,1.839
48,0.014,134.829,121.855,174.196,-113.703,0.631
49,0.013,160.192,144.324,200.12,170.538,0.6
50,0.015,154.479,131.166,185.285,19.344,0.702
51,0.014,132.684,118.053,173.699,126.357,0.63
52,0.019,163.582,142.597,192.028,58.805,0.898
53,0.013,149.151,125.382,181.594,-129.094,0.581
54,0.011,166.085,120.537,190.015,-168.996,0.517
55,0.011,190.093,157.269,205.539,-158.199,0.493
56,0.017,149.332,135.167,163.527,-174.13,0.758
57,0.022,150.999,110.296,194.444,-152.387,1.034
58,0.023,114.693,105.629,146.287,-100.784,1.055
59,0.016,149.228,130.605,223.083,18.789,0.722
60,0.017,144.705,128.851,166.74,-99.628,0.801
61,0.022,144.073,79.326,204.907,-23.097,1.042
62,0.017,150.509,138.33,169.662,-134.621,0.752
63,0.01,173.118,158.5,188.886,-178.238,0.458
64,0.023,147.323,113.423,176.394,-156.457,1.076
65,0.047,139.57,71.4,192.088,-107.689,2.226
66,0.012,176.634,163.715,196.986,123.69,0.559
67,0.019,157.518,119.208,206.362,-69.55,0.887
68,0.014,161.645,130.844,202.913,-136.818,0.628
69,0.014,154.495,124.963,183.702,-178.755,0.648
70,0.012,184.205,171.527,196.432,-28.61,0.53
71,0.015,183.756,160.167,196.675,-158.532,0.674
72,0.008,167.942,156.914,196.685,-112.989,0.379
73,0.019,125.991,115.153,145.831,31.43,0.892
74,0.024,136.266,121.306,180.133,-146.908,1.123
75,0.042,149.502,109.107,189.667,-10.333,1.945
76,0.034,154.451,141.764,168.417,5.787,1.572
77,0.056,125.095,97.366,161.705,-166.746,2.628
78,0.019,158.15,134.5,190.715,18.869,0.883
79,0.029,129.238,106.089,195.266,-88.657,1.353
80,0.034,105.622,90.245,171.333,-28.429,1.599
81,0.022,159.37,119.333,173.118,-74.798,1.008
82,0.029,141.439,123.333,171.048,8.711,1.326
83,0.03,149.314,142.067,167.667,-50.469,1.412
84,0.022,157.464,135.672,175.689,-45,1.031
85,0.025,117.74,83.457,166.667,-31.504,1.153
86,0.033,127.251,66.032,167.481,-37.349,1.516
87,0.023,146.503,131.283,187.83,31.645,1.068
88,0.019,131.137,119.681,144.391,15.376,0.877
89,0.021,153.818,140.583,172.857,163.791,0.947
90,0.017,126.617,96.167,180.833,1.507,0.804
91,0.022,148.751,121.781,173.448,-7.712,1.024
92,0.021,107.346,94.28,145.167,-41.583,1.003
93,0.021,145.023,112.167,186.981,19.44,0.953
94,0.011,154.584,142.583,180.299,-74.219,0.505
95,0.009,171.743,149.747,202.573,-36.87,0.423
96,0.017,174.276,166.237,196.65,-50.87,0.804
97,0.01,135.925,121.372,169.716,-135,0.463
98,0.022,156.777,136.5,184.333,-4.814,1.008
99,0.03,145.198,133.633,157.56,24.656,1.419
100,0.02,161.842,128.667,174.274,25.688,0.927
101,0.013,155.954,148.381,178.597,-140.856,0.586
102,0.017,145.709,129.561,193.582,32.242,0.812
103,0.024,167.338,155.624,189.179,24.852,1.107
104,0.036,135.338,112.15,158.234,26.405,1.688
105,0.047,118.746,93.021,179,-139.309,2.189
106,0.047,108.998,50.583,152.821,3.851,2.204
107,0.017,136.763,124.759,187.5,25.844,0.752
108,0.012,163.563,142.667,192.572,-19.134,0.548
109,0.015,137.123,112.278,175.667,-80.538,0.707
110,0.016,147.409,131.314,194.167,-15.255,0.723
111,0.021,167.718,157.396,203.705,-115.731,0.974
112,0.018,180.357,133,207.753,-124.509,0.821
113,0.014,143.722,129.805,182.667,-135.659,0.65
114,0.019,120.738,87.5,147,16.232,0.87
115,0.023,149.427,134.707,190.777,-29.327,1.079
116,0.009,145.226,116.789,191.526,-29.197,0.412
117,0.007,124.524,105.2,174.333,-137.726,0.314
118,0.024,123.002,65.223,176.896,-110.493,1.117
119,0.015,184.782,148.667,206.333,-41.923,0.696
120,0.012,133.846,111.333,153.825,-152.403,0.525
121,0.019,157.323,142.833,180,26.878,0.865
122,0.015,159.4,92.5,180.853,-148.736,0.693
123,0.018,120.748,111.542,161.584,-134.484,0.83
124,0.011,137.606,120.726,178.682,162.35,0.488
125,0.008,136.672,122.333,164.49,-8.366,0.363
126,0.015,151.282,134.515,190.831,7.883,0.694
127,0.009,136.966,126.406,157.833,143.427,0.408
128,0.009,169.502,153.093,204.333,-5.856,0.414
129,0.019,140.529,132.156,163.374,-29.055,0.871
130,0.025,122.282,95.333,140.879,-6.74,1.171
131,0.014,115.198,100.322,158.667,-35.218,0.66
132,0.012,146.458,138.935,157.514,-65.376,0.558
133,0.023,140.943,127.665,164.975,-107.021,1.083
134,0.01,114.573,95.461,152,18.435,0.435
135,0.012,129.746,103.647,172.001,-34.624,0.54
136,0.028,141.22,132.648,171.56,18.285,1.28
137,0.016,132.503,126.386,151.333,23.305,0.748
138,0.013,128.49,120.19,154.25,-20.674,0.599
139,0.019,147.313,128,163.15,27.181,0.879
140,0.015,172.183,146.667,190.201,-122.196,0.675
141,0.012,143.421,125.833,157.904,-90,0.539
142,0.013,131.39,102.667,152.738,3.066,0.593
143,0.027,112.489,103.618,136.188,6.234,1.265
144,0.03,128.698,118.207,180.25,166.908,1.4
145,0.015,139.137,112.833,175.674,-11.842,0.67
146,0.012,150.326,118.167,159.589,-72.979,0.542
147,0.023,118.116,95,135.334,28.106,1.055
148,0.028,137.458,80.027,179.33,-125.647,1.288
149,0.015,129.695,70.833,140.391,-66.218,0.682
150,0.019,131.539,120.917,151.095,27.181,0.879
151,0.014,149.579,117,162.242,145.008,0.645
152,0.023,121.948,99.333,160.773,30.174,1.052
153,0.016,155.155,128.667,175.06,-109.983,0.742
154,0.014,134.627,105.667,154.223,-147.319,0.666
155,0.019,131.63,121.5,170.669,-90.69,0.877
156,0.013,144.904,115.25,158.65,164.745,0.603
157,0.01,153.819,141.75,171.212,169.695,0.473
158,0.019,124.945,108.888,146.083,-155.898,0.88
159,0.019,95.715,87.167,113.167,16.699,0.883
160,0.014,141.365,132.5,166.881,-155.158,0.629
161,0.029,94.506,51.634,164.426,-21.801,1.366
162,0.014,135.986,122.241,150.116,-130.272,0.665
163,0.009,131.325,114.891,148.323,14.744,0.415
164,0.016,144.492,117.745,165.889,-146.622,0.717
165,0.007,147.358,140.077,156.778,-91.397,0.289
166,0.013,130.686,122.593,141.155,-68.682,0.62
167,0.01,132.879,115.972,182.854,-41.923,0.464
168,0.008,151.196,133.933,184.231,-126.027,0.383
169,0.01,144.051,132.487,171.579,-28.474,0.473
170,0.021,160.608,122.357,195.028,-108.693,0.989
171,0.021,158.405,133.659,183.374,-58.686,0.99
172,0.013,193.385,167.222,204.817,-11.712,0.59
173,0.01,147.183,98.611,186.063,126.501,0.438
174,0.011,147.088,133.355,161.25,128.66,0.508
175,0.016,112.353,87.325,130.277,-144.033,0.738
176,0.021,119.697,98.882,135.138,-4.351,0.975
177,0.009,110.92,103.273,140.667,-161.075,0.391
178,0.011,138.751,124.095,187.338,1.206,0.502
179,0.008,134.918,121.463,174,14.036,0.37
180,0.01,150.648,135.753,173.904,19.047,0.47
181,0.016,161.826,102.833,182.101,34.037,0.727
182,0.009,158.834,145.883,189.041,17.987,0.428
183,0.014,131.181,106.438,161.833,113.385,0.639
184,0.021,136.1,118,162,3.536,0.943
185,0.009,172.939,159.062,187.183,-111.666,0.415
186,0.012,145.65,90.861,158.061,159.274,0.558
187,0.009,137.919,125.727,155.222,-177.039,0.409
188,0.019,150.394,127.897,183.333,-137.426,0.883
189,0.015,158.875,147.002,190.979,-32.25,0.7
190,0.028,160.866,130.917,248.907,138.96,1.299
191,0.016,141.032,124.289,175.249,153.435,0.725
192,0.02,145.821,107.352,160.229,-171.051,0.906
193,0.022,154.98,115.917,173.675,-11.004,1.034
194,0.016,136.12,127.906,151.977,-130.601,0.715
195,0.02,136.522,101.5,179.574,-13.092,0.933
